Id,Name,Character,Release Date (JP),Release Date (EN),Rarity,Speed%,Stamina%,Power%,Guts%,Wit%,Turf,Dirt,Sprint,Mile,Middle,Long,Front,Pace,Late,End
0,Special Dreamer,Special Week,2021-03-02,2025-06-26,3,0,20,0,0,10,A,G,F,C,A,A,G,A,A,C
1,Hopp'n♪Happy Heart,Special Week,2021-07-29,2025-10-14,3,0,10,10,10,0,A,G,F,C,A,A,G,A,A,C
2,Ruler of Japan,Special Week,,,3,10,10,0,0,10,A,G,F,C,A,A,G,A,A,C
3,Innocent Silence,Silence Suzuka,2021-03-02,2025-06-26,3,20,0,0,10,0,A,G,D,A,A,E,A,C,E,G
4,Emerald Tidings,Silence Suzuka,2023-07-31,,3,15,15,0,0,0,A,G,D,A,A,E,A,C,E,G
5,Peak Joy,Tokai Teio,2021-03-02,2025-06-26,3,20,10,0,0,0,A,G,F,E,A,B,D,A,C,E
6,Beyond the Horizon,Tokai Teio,2021-03-30,2025-07-16,3,10,10,0,10,0,A,G,F,E,A,B,D,A,C,E
7,紫雲の夢見取り,Tokai Teio,2023-10-30,,3,10,10,0,0,10,A,G,F,E,A,A,D,A,C,E
8,Formula R,Maruzensky,2021-03-02,2025-06-26,3,10,0,0,0,20,A,D,B,A,B,C,A,E,G,G
9,Hot☆Summer Night,Maruzensky,2021-07-29,2025-10-14,3,15,0,0,0,15,A,D,B,A,B,C,A,E,G,G
10,祝ひ寿ぐ神速天女,Maruzensky,2025-01-10,,3,15,0,15,0,0,A,D,B,A,B,C,A,E,G,G
11,Shooting Star Revue,Fuji Kiseki,2021-07-12,2025-10-02,3,0,0,20,0,10,A,F,B,A,B,E,C,A,C,G
12,Succès Étoilé,Fuji Kiseki,2022-03-29,2026-04-05,3,8,0,14,0,8,A,F,B,A,B,E,C,A,C,G
13,ブランシュ・エトワール,Fuji Kiseki,2026-04-30,,3,0,10,0,13,7,A,F,B,A,A,E,C,A,C,G
14,Starlight Beat,Oguri Cap,2021-03-02,2025-06-26,3,20,0,10,0,0,A,B,E,A,A,B,F,A,A,D
15,Ashen Miracle,Oguri Cap,2021-11-29,2026-01-05,3,15,15,0,0,0,A,B,E,A,A,B,F,A,A,D
16,Cinderella Gray,Oguri Cap,2025-12-11,,3,8,0,8,14,0,A,B,E,A,B,A,F,A,A,D
17,Red Strife,Gold Ship,2021-03-02,2025-06-26,2,0,20,10,0,0,A,G,G,C,A,A,G,B,B,A
18,RUN! RUIN! LAUNCHER!,Gold Ship,2022-07-29,2026-07-02,3,0,0,20,0,10,A,G,G,C,A,A,G,B,B,A
19,La mode 564,Gold Ship,2023-08-31,,3,8,14,8,0,0,A,G,G,C,A,A,G,B,B,A
20,Wild Top Gear,Vodka,2021-03-02,2025-06-26,2,10,0,20,0,0,A,G,F,A,A,F,C,B,A,F
21,Fiery Aqua Vitae,Vodka,2022-11-28,,3,20,0,0,10,0,A,G,F,A,A,E,C,B,A,F
22,Peak Blue,Daiwa Scarlet,2021-03-02,2025-06-26,2,10,0,0,20,0,A,G,F,A,A,B,A,A,E,G
23,Nuit Étoilée de Scarlet,Daiwa Scarlet,2022-11-28,,3,20,0,0,0,10,A,G,F,B,A,A,A,A,E,G
24,Wild Frontier,Taiki Shuttle,2021-03-02,2025-06-26,3,20,0,0,0,10,A,B,A,A,E,G,C,A,E,G
25,Bubblegum☆Memories,Taiki Shuttle,2022-06-30,2026-06-11,3,0,0,30,0,0,A,B,A,A,E,G,C,A,E,G
26,Baa Baa Patisserie,Taiki Shuttle,2026-01-30,,3,0,0,10,20,0,A,B,A,A,E,G,C,A,E,G
27,Stone-Piercing Blue,Grass Wonder,2021-03-02,2025-06-26,2,20,0,10,0,0,A,G,G,A,B,A,F,A,A,F
28,Saintly Jade Cleric,Grass Wonder,2021-06-29,2025-09-21,3,0,15,0,0,15,A,G,G,A,B,A,F,A,A,F
29,蒼炎の誉,Grass Wonder,2024-12-19,,3,0,0,0,20,10,A,G,G,B,A,A,F,A,A,F
30,Azure Amazon,Hishi Amazon,2021-06-21,2025-09-17,3,0,0,20,10,0,A,E,D,A,A,B,G,B,C,A
31,Hungry Veil,Hishi Amazon,2023-05-29,,3,10,0,10,0,10,A,E,D,A,A,B,G,B,C,A
32,Frontline Elegance,Mejiro McQueen,2021-03-02,2025-06-26,3,0,20,0,0,10,A,E,G,F,A,A,B,A,D,F
33,End of the Skies,Mejiro McQueen,2021-03-30,2025-07-16,3,0,10,10,0,10,A,E,G,F,A,A,B,A,D,F
34,Fair Lady of the Waves,Mejiro McQueen,2022-07-29,2026-07-02,3,8,8,0,0,14,A,E,G,F,A,A,B,A,D,F
35,El☆Número 1,El Condor Pasa,2021-03-02,2025-06-26,2,20,0,0,0,10,A,B,F,A,A,B,E,A,A,C
36,Kukulkan Warrior,El Condor Pasa,2021-06-29,2025-09-21,3,15,0,0,15,0,A,B,F,A,A,B,E,A,A,C
37,O Sole Suo!,T.M. Opera O,2021-03-02,2025-06-26,3,0,20,0,0,10,A,E,G,E,A,A,C,A,A,G
38,"New Year, Same Radiance!",T.M. Opera O,2021-12-31,2026-01-29,3,14,8,0,0,8,A,E,G,E,A,A,C,A,A,G
39,Maverick,Narita Brian,2021-05-17,2025-08-20,3,10,20,0,0,0,A,G,F,B,A,A,G,A,A,D
40,Ravenous Wolf,Narita Brian,2022-12-20,,3,10,10,0,10,0,A,G,F,B,A,A,G,A,A,D
41,Emperor's Path,Symboli Rudolf,2021-03-02,2025-06-26,3,0,20,0,10,0,A,G,E,C,A,A,B,A,A,C
42,Archer by Moonlight,Symboli Rudolf,2021-10-28,2025-12-14,3,8,14,0,0,8,A,G,E,C,A,A,B,A,A,C
43,Empress Road,Air Groove,2021-03-02,2025-06-26,2,10,0,20,0,0,A,G,C,B,A,E,D,A,A,G
44,Quercus Civilis,Air Groove,2021-05-28,2025-08-28,3,10,0,10,10,0,A,G,C,B,A,E,D,A,A,G
45,Full-Color Fangirling,Agnes Digital,2021-09-20,2025-11-19,3,8,8,7,0,7,A,A,F,A,A,G,G,A,A,B
46,Fanatic♡Jiangshi,Agnes Digital,2022-09-29,2026-08-18,3,7,7,8,8,0,A,A,F,A,A,G,G,A,A,B
47,Reeling in the Big One,Seiun Sky,2021-06-10,2025-09-07,3,0,10,0,0,20,A,G,G,C,A,A,A,B,D,E
48,Soirée des Chatons,Seiun Sky,2022-03-29,2026-04-05,3,8,0,8,14,0,A,G,G,C,A,A,A,B,D,E
49,渚のきまぐれオランジュ,Seiun Sky,2026-07-30,,3,0,0,5,10,15,A,G,G,C,A,A,A,B,D,E
50,Fast as Lightning,Tamamo Cross,2021-12-22,2026-01-22,3,0,20,10,0,0,A,F,G,E,A,A,G,A,A,A
51,Raging Thunder,Tamamo Cross,2022-10-28,2026-09-07,3,14,8,0,8,0,A,F,G,E,A,A,G,A,A,A
52,Noble Seamair,Fine Motion,2021-12-14,2026-01-15,3,0,0,15,0,15,A,G,F,A,A,C,D,A,E,C
53,Titania,Fine Motion,2022-05-30,2026-05-18,3,0,0,0,10,20,A,G,F,A,A,C,D,A,E,C
54,麺華煌彩伝・極,Fine Motion,2026-07-10,,3,0,0,10,10,10,A,G,F,A,A,C,D,A,E,C
55,pf. Winning Equation...,Biwa Hayahide,2021-03-18,2025-07-10,3,0,0,0,10,20,A,F,F,C,A,A,E,A,B,E
56,Rouge Caroler,Biwa Hayahide,2021-11-29,2026-01-05,3,0,12,12,0,6,A,F,F,C,A,A,E,A,B,E
57,Engineered Victory,Biwa Hayahide,2024-10-29,,3,0,10,10,10,0,A,F,F,C,A,A,E,A,B,E
58,Scramble☆Zone,Mayano Top Gun,2021-03-02,2025-06-26,2,0,20,0,10,0,A,E,D,D,A,A,A,A,B,B
59,Sunlight Bouquet,Mayano Top Gun,2021-05-28,2025-08-28,3,10,10,0,0,10,A,E,D,D,A,A,A,A,B,B
60,ろっきん☆MewMeow,Mayano Top Gun,2024-09-30,,3,8,15,0,0,7,A,E,D,D,A,A,A,A,B,B
61,Creeping Shadow,Manhattan Cafe,2021-10-20,2025-12-08,3,0,30,0,0,0,A,G,G,F,B,A,G,C,A,C
62,柳緑小夜,Manhattan Cafe,2024-01-31,,3,0,20,10,0,0,A,G,G,F,B,A,G,C,A,A
